,co_code,company_name,short_name,cin_code,isin_code_equity,entity_type_code,mr_entity_type_name,owner_code,owner_gp_name,co_industry_type,nic_prod_code,nic_name,nse_symbol,bse_scrip_code,bse_code,bse_scrip_id,bse_listing_flag,nse_first_traded_date,nse_suspended_from_date,nse_suspended_to_date,nse_delist_date,bse_first_traded_date,bse_suspended_from_date,bse_suspended_to_date,bse_delist_date,regdpin,delisted,delist_date,listed,list_date
1,11,20 MICRONS LTD.,20 MICRONS,L99999GJ1987PLC009768,INE144J01027,10203020000,Public Ltd.,20102000000,Private (Indian),1.0,8.0,Other mining and quarrying,20MICRONS,533022.0,533022.0,20MICRONS,B,2008-10-06,,,,2008-10-06,,,,391760.0,0,,1,2008-10-06
4,14,20TH CENTURY FINANCE CORPN. LTD. [MERGED],20TH CENTURY FINANCE,U99999MH1979PTC021609,INE420A01012,10203020000,Public Ltd.,20102000000,Private (Indian),2.0,64920.0,Other credit granting,20THCENFIN,500001.0,1.0,20TH CENTURY,,1994-12-14,,,1999-05-28,1994-12-14,,,1999-05-24,400012.0,1,1999-05-28,1,1994-12-14
19,289,A B C INDIA LTD.,,L63011WB1972PLC217415,INE125D01011,10203020000,Public Ltd.,20101020442,TCI-Bhoruka Group,1.0,46909.0,Other non-specialised wholesale trade n.e.c.,,520123.0,20123.0,ABCINDQ,X,,,,,,,,,700073.0,0,,1,
20,301,A B C O PLASTICS LTD.,A B C O PLASTICS,L25209TN1994PLC027000,INE522601017,10203020000,Public Ltd.,20102000000,Private (Indian),1.0,22209.0,Manufacture of other plastics products n.e.c.,,526699.0,26699.0,ABCO PLASTIC,Z,,,,,,,,2004-07-02,601201.0,1,2004-07-02,1,
27,363,STARLOG ENTERPRISES LTD.,A B G HEAVY INDS.,L63010MH1983PLC031578,INE580C01019,10203020000,Public Ltd.,20101030131,ABG Group,1.0,82990.0,Other business support service activities n.e.c.,ABGHEAVY,520155.0,20155.0,STARLOG,X,1995-05-10,,,2005-07-21,1995-05-10,,,,400021.0,1,2005-07-21,1,1995-05-10
28,365,A B G SHIPYARD LTD.,A B G SHIPYARD,L61200GJ1985PLC007730,INE067H01016,10203020000,Public Ltd.,20101030131,ABG Group,1.0,301.0,Building of ships and boats,ABGSHIP,532682.0,532682.0,ABGSHIP,Z,2007-04-11,,,,2007-04-11,,,,395007.0,0,,1,2007-04-11
31,400,A B L BIOTECHNOLOGIES LTD.,ABL,L52599TN1992PLC022340,INE707D01016,10203020000,Public Ltd.,20102000000,Private (Indian),1.0,77.0,Rental and leasing activities,,526955.0,26955.0,ABLBIO,Z,,,,,,2016-07-12,2018-07-03,2018-07-04,600002.0,1,2018-07-04,1,
34,414,A B M INTERNATIONAL LTD.,A B M INTERNATIONAL,L51909DL1983PLC015585,INE251C01017,10203020000,Public Ltd.,20102000000,Private (Indian),1.0,46909.0,Other non-specialised wholesale trade n.e.c.,ABMINTLTD,,,,,2016-06-14,,,,2016-06-14,,,,110015.0,0,,1,2016-06-14
35,415,A B M KNOWLEDGEWARE LTD.,,L67190MH1993PLC113638,INE850B01026,10203020000,Public Ltd.,20102000000,Private (Indian),1.0,62013.0,Providing software support and maintenance to the clients,,531161.0,31161.0,ABMKNO,X,,,,,,,,,400050.0,0,,1,
40,443,A B N GRANITES LTD.,A B N GRANITES,U14101KL1996PLC010297,INE001101018,10203020000,Public Ltd.,20102000000,Private (Indian),1.0,8102.0,Quarrying of granite,,515103.0,15103.0,ABN GRANTIES,,,,,,,,,1997-02-17,683102.0,1,1997-02-17,1,
