,co_code,co_stkdate,company_name,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty
0,11,2014,20 MICRONS LTD.,5.0,0.3194,756.4,42.0,1.0969,1274.8595,114.1287,1.7133,490250.0
1,11,2015,20 MICRONS LTD.,5.0,0.7793,816.7,47.6,1.2,1548.7683,46.8348,2.1146,792926.0
2,11,2016,20 MICRONS LTD.,5.0,4.6477,943.1,47.0,1.1993,1524.3769,46.898999999999994,1.6163,1738322.0
3,11,2017,20 MICRONS LTD.,5.0,4.4295,1250.3,63.95,1.1995,2214.228,21.6022,1.771,2699921.0
4,11,2018,20 MICRONS LTD.,5.0,5.5432,1382.7,68.0,1.1345,2244.2215,17.5467,1.7261,1151679.0
5,289,2014,A B C INDIA LTD.,10.0,8.5653,544.4,164.3,1.1998,806.0841,14.0976,1.6529,95627.0
6,289,2015,A B C INDIA LTD.,10.0,-18.9949,493.4,148.3,1.2,744.3277,,1.5572,55496.0
7,289,2016,A B C INDIA LTD.,10.0,-10.6512,473.1,114.8,1.1999,561.7669999999999,,1.1874,54243.0
8,289,2017,A B C INDIA LTD.,10.0,-13.254000000000001,444.8,116.0,1.1344,606.73,,2.4797,301308.0
9,289,2018,A B C INDIA LTD.,10.0,-12.9217,280.9,177.0,1.1999,848.6094,,3.0210000000000004,242524.0
10,363,2014,STARLOG ENTERPRISES LTD.,10.0,-6.7268,2208.6,133.65,1.1999,1589.8139999999999,,0.7938,100240.0
11,363,2015,STARLOG ENTERPRISES LTD.,10.0,1.7799,2011.7,274.2,1.1999,3117.3996,91.0165,1.5708,58546.0
12,363,2016,STARLOG ENTERPRISES LTD.,10.0,1.7799,2011.7,167.9,1.1565,1978.1426,92.8705,0.9833,50320.0
13,363,2017,STARLOG ENTERPRISES LTD.,10.0,-18.9521,1803.3,122.0,1.1318,1403.129,,0.7781,58422.0
14,363,2018,STARLOG ENTERPRISES LTD.,10.0,-23.8239,1667.5,82.5,1.1995,943.5968,,0.5659,51513.0
15,365,2014,A B G SHIPYARD LTD.,10.0,-15.6593,13773.3,327.4,1.2,15704.2834,,1.4095,2356152.0
16,365,2015,A B G SHIPYARD LTD.,10.0,-130.0469,8841.5,260.0,1.1999,13752.8775,,4.0936,9966864.0
17,365,2016,A B G SHIPYARD LTD.,10.0,-293.7231,-14818.7,75.0,1.1937,3992.3312,,,9975261.0
18,365,2017,A B G SHIPYARD LTD.,10.0,-251.7985,-49059.3,34.0,1.0725,3284.5771,,,2240977.0
19,365,2018,A B G SHIPYARD LTD.,10.0,-318.9018,-86300.4,14.5,1.05,1399.5588,,,224786.0
20,400,2014,A B L BIOTECHNOLOGIES LTD.,10.0,-0.1707,,6.89,1.05,56.498000000000005,,,42156.0
