,sa_finance1_cocode,sa_company_name,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_st_trade_bills_receivables,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,traded_qty
0,11,20 MICRONS LTD.,3922.0,3891.8,3808.6,158.8,3808.6,1573.9364,1679.5,1396.9,636.7,636.7,3363.5,3578.5,91.1,143.7,458.5,535.5,244.3,176.4,2546.9,549.6,2539.49,3453.5,3770.4,3845.7,91.1,2129.1,1640.5,2546.9,14.9,13.1,842.4,3909.2,3899.0,243.7773,-59.6886,-3.8887,158.8,0.0,243.5,238.6,444.4,250.6,237.2326,1.0512,0.7897,-33.1235,135.2815,-1.7061,89.208,94.9104,5.7023,16.396,4.049,0.0,0.0,0.8916,16.5757,0.0,39.1194,14.5197,28.8937,14.0133,6.0836,4.049,6.3896,4.1466,13.005999999999998,12.7412,20.1067,9.323,6.1861,6.0601,4.3448,77.9234,37.9101,0.5670000000000001,1.0081,0.9821,0.0348,7.5885,6.5668,4.2852,10.6027,1.581,2.438,5.0,5.5432,1382.7,68.0,1.1345,2244.2215,1151679.0
1,415,A B M KNOWLEDGEWARE LTD.,740.8,716.3,1976.5,144.5,1976.5,253.2485,1377.7,37.4,531.3,531.3,520.1,525.3,15.9,114.4,204.8,196.2,198.6,102.4,506.4,220.7,264.85,529.1,596.3,602.6,15.9,598.8,464.7,506.4,23.5,929.0,84.0,740.1,716.3,300.3007,-540.9937,-144.30700000000004,144.5,0.0,199.6,192.5,180.3,150.6,154.1425,0.3681,-0.9086,140.5179,-78.0002,35.4662,87.2212,88.0932,0.872,8.4511,19.5059,0.0,3.217,0.0,7.2043,0.0,2.3561,21.749,65.4735,29.7921,25.9854,19.5059,20.3294,19.4298,10.3071,10.3573,10.7945,14.235,10.3071,10.3573,7.1459,-88.7677,38.5643,3.0164,3.148,0.0,0.7413,45.4612,2.0893,3.7585,2.5029,1.4197,1.5215,5.0,7.2592,1493.2,142.0,1.119,2711.2982,121094.0
2,912,A F ENTERPRISES LTD.,5.0,4.2,185.3,-24.0,185.3,143.7962,173.8,167.2,41.5,41.5,110.0,139.4,0.7,-24.0,-2.7,-2.8,-32.1,40.0,4.3,-2.0,6.07,7.7,132.0,4.2,0.7,11.5,3.1,4.3,0.8,6.2,0.8,5.0,107.2,20.1993,-16.0165,-17.5827,-24.0,0.0,-32.1,-32.1,-3.5,-31.6,135.4839,0.034,-0.1743,119.5264,-150.7409,-17.8879,83.3333,105.6061,22.2727,-40.125,-480.0,0.0,0.0,0.0,-35.0,0.0,-1470.0,405.0,1200.0,-40.0,-642.0,-480.0,-632.0,-480.0,-82.0513,-82.0513,-108.0342,-89.1667,-66.6667,-66.6667,-16.3321,277.1901,23.878,0.25,1.0371,0.3757,0.0012,9.4805,0.0981,0.9857,3.3333,1.2,1.6154,10.0,-3.125,17.3,5.96,1.0442,23.84,7040.0
3,1120,A I A ENGINEERING LTD.,23947.3,21658.2,43578.4,4699.1,43578.4,10158.309,25120.5,3406.7,7036.2,7036.2,17525.9,17611.0,643.9,3369.9,6324.7,4679.5,6102.8,188.6,8447.5,6968.6,15498.84,17540.9,19795.4,21474.8,643.9,18457.9,6511.6,8447.5,2152.3,18571.3,10894.4,23825.2,22205.4,8258.8687,-5072.0229,-1852.4458,4699.1,0.0,6239.6,6233.3,4035.6,5174.1,332.6095,0.6655,0.1386,-380.0976,618.92,-100.8079,88.5352,88.9651,0.4299,2.8355,19.6227,0.0,0.0904,0.0,9.24,0.0,1.2212,22.0159,67.4325,29.0997,26.0292,19.6227,21.6062,19.2108,17.6638,18.1351,19.9682,22.4333,16.8246,17.2734,12.7188,41.9801,28.0098,3.9345,4.6594,0.0429,2.2539,23.3471,3.1687,12.8258,29.0374,2.6616,3.3295,2.0,52.0418,28657.6,1887.0,1.0535,172120.5272,3135822.0
4,1144,A INFRASTRUCTURE LTD.,2163.8,2138.8,2100.4,8.1,2100.4,1117.7045,1332.7,1021.9,216.9,216.9,1984.4,2097.8,26.2,1.7,125.2,126.4,3.6,107.1,463.9,151.4,1498.26,2036.3,2127.7,2078.0,26.2,767.7,410.8,463.9,16.8,226.5,616.9,2156.6,2110.8,51.4441,218.4048,5.9511,8.1,0.0,11.8,11.8,100.2,25.1,520.6426,1.0629,5.1074,79.1895,18.6527,2.4196,93.265,98.5947,5.3297,0.2143,0.3743,0.0,0.0,0.0,17.3052,0.0,74.9009,2.4439,5.3501,6.9969,0.5453,0.3743,1.16,0.0417,0.2075,1.8677,5.7874,0.2535,0.0634,0.5704,0.0442,97.1098,16.2752,0.2944,1.2163,2.3251,0.0467,8.7652,10.1678,6.9251,11.3207,4.6486,5.0942,10.0,1.8103,485.9,149.35,1.05,1592.2838,4080.0
5,1317,A K CAPITAL SERVICES LTD.,1083.2,29.3,6277.2,215.8,6277.2,342.6323,2450.5,1892.2,18.2,18.2,413.8,745.8,14.1,168.1,654.0,-384.5,322.5,66.0,509.9,668.1,168.05,422.7,867.4,26.8,14.1,3826.7,356.7,509.9,1053.1,187.9,333.9,1082.9,29.3,49.3736,67.7514,3.4751,215.8,0.0,322.0,321.4,-398.6,229.8,8.2142,0.1547,0.3531,56.1786,40.9399,42.5753,47.7058,85.9811,38.2753,0.3062,19.9225,0.0,0.0,0.0898,2.1105,0.0,49.6932,15.806,32.3006,61.6784,29.6713,19.9225,21.2149,20.0203,5.9574,5.93,6.3147,4.8847,3.2838,3.2686,3.0969,181.9199,0.7427,1.0844,1.0846,0.5605,0.9154,9.2394,1.2337,0.0948,5.5278,0.0579,0.0826,10.0,41.2727,3783.3,665.0,1.145,4239.51,26209.0
6,2248,A P M INDUSTRIES LTD.,2846.4,2722.7,3005.9,125.4,3005.9,821.7494,814.2,523.6,268.5,268.5,2553.2,2594.0,48.5,112.4,221.7,151.3,146.0,43.2,1542.4,270.2,2289.3,2614.5,2702.8,2720.9,48.5,2191.7,1453.6,1542.4,84.0,235.1,559.9,2810.0,2704.5,615.9577,-285.253,-68.0047,125.4,0.0,180.9,178.6,102.8,151.2,187.3074,0.9819,0.4707,-108.5851,234.4719,-16.1221,94.465,95.9745,1.5095,1.7381,4.4056,0.0,0.8512,0.0,17.9497,0.0,15.0999,19.6891,46.4101,9.4927,6.2746,4.4056,5.312,3.3381,5.0872,6.801,8.2002,6.3870000000000005,4.1034,5.4858,3.2358,113.7193,32.9772,0.6099,1.4332,0.2475,0.1021,2.2616,9.9934,14.5727,7.2987,1.8859,1.9753,2.0,5.3814,1908.7,74.9,1.1132,1577.6293,126016.0
7,2842,A S M TECHNOLOGIES LTD.,779.9,761.9,818.8,36.4,818.8,114.8083,580.6,116.2,149.7,149.7,693.3,696.1,12.1,6.2,74.5,68.6,67.4,50.0,82.2,86.6,439.5,699.5,743.5,761.0,12.1,238.2,55.3,82.2,13.7,458.9,32.0,779.9,761.9,-54.8972,88.6647,-6.4675,36.4,0.0,71.7,71.4,56.5,56.8,1377.7577,1.0052,-0.4472,324.7792,-201.0887,-26.5227,93.2482,93.6247,0.3766,4.9197,4.6673,0.0,0.0,0.3464,13.9723,0.0,3.2333,40.4157,42.0323,11.104,9.155,4.6673,7.282999999999999,4.6673,6.8985,6.8985,10.7647,11.8008,6.3731,6.3731,4.6913,103.957,25.7837,3.6652,4.9492,0.1496,1.9974,5.9485,6.0928,15.0,1.5206,9.5716,13.0351,10.0,12.84,567.5,187.9,1.1606,867.5,76259.0
8,3196,A V I POLYMERS LTD.,10.9,10.9,41.2,0.5,41.2,12.8151,36.0,3.2,15.0,15.0,9.1,10.9,626.3072172619047,0.5,1.8,1.8,0.0,44.7,9920.484445189408,1.8,8.21,9.1,10.4,10.9,622.8142377935146,5.2,7024.330846102598,9920.484445189408,4296.194891304348,32.7,8114.080324324324,10.9,10.9,1.5526,-3.7243,-0.4283,0.5,0.0,0.0,0.0,1.8,0.0,3048.2325986350343,0.2742,-0.6341,143.2414,-59.7152,16.4738,87.5,104.8077,17.3077,-14.4536606884058,4.5872,0.0,0.0,0.0,0.0,0.0,100.0,-27.7778,27.7778,16.5138,0.0,4.5872,0.0,4.5872,1.3245,1.3245,0.0,0.0,1.3245,1.3245,1.2579,97.1603,41.6667,4.9688,11.2187,0.0,0.1562,20.0549,0.7101,4.2286,9.0833,218.0,39.30500796429797,8.292570798087532,11.232970209635896,14048.720117690327,407.1857484369253,1.1156000000000001,44672.25301441706,4640900.221772711
9,3335,A V T NATURAL PRODUCTS LTD.,3122.2,3002.2,3318.9,213.9,3318.9,1644.8394,2144.1,673.8,644.5,644.5,2806.9,2823.4,71.3,140.6,353.3,304.6,333.8,152.3,700.2,424.6,2410.89,2760.8,3017.6,2989.7,71.3,1174.8,560.5,700.2,117.0,1220.8,130.8,3121.2,3111.5,508.5832,-450.9842,-73.0991,213.9,0.0,336.8,329.8,233.3,290.1,535.6289,1.0323,-0.0367,2909.5752,-3281.1822,409.8044,93.0176,93.5644,0.5468,2.853,6.8509,0.0,1.3424,0.3062,16.7923,0.0,3.886,27.2963,50.3768,13.5994,10.5631,6.8509,9.2915,6.8211,8.805,8.8463,11.9978,13.1687,8.3991,8.4385,7.0393,98.3127,30.0592,1.4498,2.7403,0.0942,0.5237,8.7786,4.7145,7.8319,10.0199,4.4696,5.2912,1.0,1.3980000000000001,2523.0,60.25,1.0907,8733.4874,724808.0
10,3990,AARTI DRUGS LTD.,11608.3,11596.6,13152.7,734.1,13152.7,5462.6467,6956.9,5863.6,3642.6,3642.6,10287.9,10650.9,378.0,705.3,1498.4,1864.7,1132.1,235.8,8622.9,1876.4,9160.32,10088.6,11430.2,11404.6,378.0,6195.8,5635.8,8622.9,8.4,564.5,2943.4,11608.3,12152.6,1430.1315,-1550.7039,-186.1276,734.1,0.0,1135.4,1122.1,1486.7,1211.9,205.7667,0.9549,-0.2354,505.6094,-466.2965,58.5074,90.0063,93.1821,3.1758,134.7738,6.3239,0.0,0.0,0.7088,20.145,0.0,19.3456,20.6779,39.1228,16.1643,9.6664,6.3239,10.4399,6.3239,17.9018,17.9018,29.5535,12.6327,8.1916,8.1916,6.0385,180.21400000000003,52.3595,0.6443,1.0961,1.202,0.0067,1.4182,3.6097,4.3141,22.9913,1.3909,2.0972,10.0,36.1418,4555.6,785.0,1.1278,18378.317,482724.0
11,3998,AARTI INDUSTRIES LTD.,37014.4,36990.3,41194.8,3164.4,41194.8,13201.6588,15691.3,15180.5,6392.3,6392.3,31101.3,32408.7,1357.7,3065.6,5248.8,6586.4,3933.9,406.5,28873.0,6606.5,27475.08,31694.7,34547.4,36990.3,1357.7,25503.5,18442.8,28873.0,12.6,-1894.2,10587.7,37005.1,37687.7,6237.374,207.3583,42.3677,3164.4,0.0,3941.4,3923.5,5228.7,4509.1,200.5677,0.9995,1.0325,3.1965,96.1504,0.7785,90.025,93.8094,3.7844,312.2143,8.5491,0.0,0.1514,0.1196,20.551,0.0,19.7896,11.4902,47.8983,17.8485,10.5999,8.5491,12.182,8.5369,22.8115,22.8498,32.5597,12.3671,9.9313,9.948,8.5303,-381.0716,40.7379,0.4318,0.8774,1.3746,0.0155,2.7558,6.2347,8.3551,20.9305,1.3942,2.2049,5.0,42.0836,15782.4,1445.0,1.0544,116872.815,1724381.0
12,4024,AARVEE DENIMS & EXPORTS LTD.,8296.0,8270.6,9195.4,56.1,9195.4,4580.5194,5387.0,5119.3,2953.6,2953.6,7863.6,8298.1,329.5,56.1,522.0,826.1,79.5,234.6,4207.1,851.5,6966.85,7774.0,8659.0,8260.4,329.5,3808.4,3627.3,4207.1,17.4,72.7,1339.5,8294.5,8689.7,483.3163,-613.6638,-35.0526,56.1,0.0,87.5,63.8,496.6,408.6,228.0098,0.9455,-0.3489,371.018,-292.2106,20.5952,90.8142,95.8321,5.0179,4.569,0.6762,0.0,0.2466,2.5367,38.6964,0.0,51.0276,0.9043,6.5884,10.264,0.769,0.6762,4.9253,0.6583,2.0305,2.0863,15.1955,1.2497,0.8583,0.8819,0.6223,103.0266,54.8283,0.6208,1.0142,1.3962,0.0449,10.8364,3.0744,3.8483,14.9021,2.004,2.2432,10.0,2.6258,2722.5,58.0,1.0993,1286.77,1064760.0
13,4030,AARVI ENCON LTD.,1701.8,1688.8,984.5,61.6,984.5,337.7098,479.5,191.3,386.8,386.8,1601.8,1613.2,7.2,61.6,92.8,87.0,72.9,147.8,159.6,100.0,973.44,1607.0,1640.2,1688.5,7.2,505.0,64.2,159.6,4.5,275.2,206.7,1693.3,1688.8,518.1066,-208.278,-73.6287,61.6,0.0,81.4,81.4,79.8,68.2,2630.5296,1.9052,1.0124,-88.1786,219.3508,-30.6633,97.6588,98.3539,0.695,16.2,3.6197,0.0,0.0,0.0,7.2,0.0,11.4,19.8,61.6,5.8761,4.7832,3.6197,4.0075,3.1359,11.5661,13.4176,14.8552,13.2317,9.6379,11.1807,5.9446,62.435,80.6674,2.4298,2.4371,0.066,0.3462,24.1441,4.7585,1.219,1.4258,10.7773,26.0015,10.0,3.5917,586.3,111.5,1.0591,1611.4560000000001,88000.0
14,4253,ABAN OFFSHORE LTD.,6516.6,5926.1,58823.4,85.7,58823.4,16022.2473,15349.8,10824.9,5012.5,5012.5,2793.7,3926.9,1611.7,85.7,1991.1,3132.4,967.5,2926.7,21597.3,3602.8,2872.77,4402.7,6430.9,5896.9,1611.7,43473.6,16838.2,21597.3,580.0,-3864.7,4027.2,6516.1,5926.1,-23.3309,-2865.0818,7.1128,85.7,0.0,857.9,678.7,1520.7,1798.6,35.1944,0.1106,19.6475,99.4371,0.8097,-0.2021,43.4418,61.063,17.6212,1.6681,1.3151,0.0,0.0,4.9739,44.7347,0.0,31.4533,16.4594,2.3787,55.2865,10.4149,1.3151,27.6003,3.1507,0.5015,0.2093,4.3935,1.9221,0.4079,0.1703,0.3484,95.2183,32.6551,0.5106,0.6487,0.2266,0.0304,27.9883,1.2383,0.1392,7.1755,0.2778,0.3398,2.0,4.7357,41237.3,280.7,1.1519,15647.7431,28788250.0
15,4709,TRIDENT LTD.,46853.6,45867.6,64445.5,2637.4,64445.5,17403.7344,18296.1,16673.1,4783.9,4783.9,37357.9,38540.0,4161.8,1717.4,5115.6,8298.9,3580.2,5096.0,52475.2,9277.4,35941.01,41713.4,44005.4,45701.5,4161.8,46149.4,40693.8,52475.2,625.2,-1030.8,18392.5,46688.3,45656.8,-1880.6011,924.6446,-36.3435,2637.4,0.0,3933.5,3912.8,4137.1,7090.2,112.714,0.8287,0.429,-93.182,189.5194,8.2316,84.8939,87.5802,2.6863,5.7265,5.629,0.0,0.0,0.2231,44.8596,0.0,12.7417,13.7474,28.4282,19.8008,8.3511,5.629,15.1327,5.311,12.092,12.8615,34.5759,7.3452,5.0872,5.4109,4.3857,92.9823,26.1471,0.3973,0.9392,1.3066,0.1042,14.5139,10.5543,18.1791,8.9603,1.0397,1.3331,10.0,5.9936,22004.7,93.4,1.1199,46653.4742,8210193.0
