co_code|Prowess company code|Code
company_name|Prowess company name|Text
co_stkdate|Company Trading Date|Date
bse_opening_price|BSE opening price|Indian Rupee
bse_high_price|BSE high price|Indian Rupee
bse_low_price|BSE low price|Indian Rupee
bse_closing_price|BSE closing price|Indian Rupee
bse_flags|BSE ex-date flags|Text
bse_returns|BSE returns|Times
bse_traded_qty|BSE traded quantity|Nos.
bse_traded_val|BSE turnover|Rs. Million
bse_no_of_trans|BSE number of transactions|Nos.
bse_avg_rate|BSE weighted average price|Indian Rupee
bse_delivery_qty|BSE shares deliverable|Nos.
bse_delivery_val|BSE shares deliverable in value|Rs. Million
bse_market_cap|BSE market capitalisation|Rs. Million
bse_pe|BSE P/E|Times
bse_pb|BSE P/B|Times
nse_opening_price|NSE opening price|Indian Rupee
nse_high_price|NSE high price|Indian Rupee
nse_low_price|NSE low price|Indian Rupee
nse_closing_price|NSE closing price|Indian Rupee
nse_flags|NSE ex-date flags|Text
nse_returns|NSE returns|Times
nse_traded_qty|NSE traded quantity|Nos.
nse_traded_val|NSE turnover|Rs. Million
nse_no_of_trans|NSE number of transactions|Nos.
nse_avg_rate|NSE weighted average price|Indian Rupee
nse_delivery_qty|NSE shares deliverable|Nos.
nse_market_cap|NSE market capitalisation|Rs. Million
nse_pe|NSE P/E|Times
nse_pb|NSE P/B|Times
equity_shares_on_stkdate|Shares outstanding|Nos.
equity_facevalue_on_stkdate|Face value|Indian Rupee
eps_on_stkdate|EPS|Indian Rupee
cons_eps_on_stkdate|Consolidated EPS|Indian Rupee
ceps_on_stkdate|CEPS|Indian Rupee
cons_ceps_on_stkdate|Consolidated CEPS|Indian Rupee
equity_bv_on_stkdate|Book value per share|Indian Rupee
