,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_cash_bal,sa_st_trade_bills_receivables,sa_debtors_more_6m,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_interest_inc,sa_interest_exp,sa_st_inventories,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_non_fin_services_inc,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_equity_div_inc_dist_pc_pat,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_total_div_pc_pat,sa_total_interest_exp,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_rawmat_stores_spares_avg_stk_rawmat_stores,sa_cost_of_goods_sold_avg_stk_fg,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty,delisted
0,3741.8,3729.3,3661.4,131.6,3661.4,1606.7038,1557.9,1399.7,1.6,548.6,,548.6,3177.5,3405.7,89.8,131.6,429.8,5.6,216.8,591.7,509.0,196.6,176.4,2384.5,519.6,2360.19,3319.6,3567.4,3569.9,89.8,2103.5,1560.3,2384.5,18.5,5.6,-40.0,901.1,3738.3,3686.5,198.5575,14.809000000000001,0.8336,131.6,0.0,201.6,193.2,419.2,247.7,0.0,239.0117,1.0683,1.1476,6.9136,92.6972,1.2432,0.0,216.8,89.0705,95.4673,6.3968,35.1071,3.517,0.0,1.5012,0.1155,17.2825,0.0,43.9184,11.8553,25.3272,13.8864,5.1633,3.517,6.6198,3.4775,12.9039,13.0627,24.5868,7.8308,5.178,5.2418,3.7114,75.0796,35.2141,0.517,0.9745,1.2375,0.0499,10.7094,3.9417,12.2575,6.7237,4.0576,11.3042,1.6411,2.5176,5.0,4.4295,1250.3,63.95,1.1995,2214.228,21.6022,1.771,2699921.0,False
1,1330.2,1314.2,784.4,-164.6,784.4,427.8439,531.2,363.0,7.1,356.7,154.4,356.7,1316.5,1363.3,27.4,-164.6,-12.1,3.8,43.5,6.7,-0.7,-71.0,54.1,624.0,15.3,1204.75,1344.2,1496.4,1282.6,27.4,253.2,222.8,624.0,1194.9,3.9,85.3,143.5,1319.8,1315.8,-205.8565,151.4126,-22.1561,-165.2,0.6,-58.9,-177.5,-28.1,-32.1,,589.8564,1.5181,0.51,-197.6666,268.7421,42.7933,,43.5,87.9778,91.1053,3.1275,-18.2051,-12.3741,0.0,0.0,775.1634,179.085,0.0,305.8824,-84.3137,-1075.817,1.1502,-13.3439,-12.3741,-2.4132,-13.2596,-47.2781,-44.4685,-8.6722,-10.1371,-24.9857,-23.5009,-19.9715,103.40299999999999,67.1498,1.1895,1.2312,1.2151,0.0661,7.1143,0.0,276.954,3.1779,18.1519,13.3854,2.0404,5.3674,10.0,-13.254,444.8,116.0,1.1344,606.73,,2.4797,301308.0,False
2,1428.0,1423.1,365.3,6.2,365.3,193.9525,318.2,152.1,0.1,160.4,,160.4,1447.6,1450.2,2.4,6.2,11.9,3.1,1.0,33.9,9.4,7.5,117.6,40.1,14.3,1385.4,1416.1,1455.7,1423.1,2.4,47.1,18.7,40.1,1423.1,3.1,125.8,1.3,1426.3,1457.0,-143.8839,546.4505,-71.6666,6.2,0.0,9.3,9.3,7.0,8.6,0.0,7610.1604,3.5307,-5.4201,165.1407,-43.4826,-21.9672,0.0,1.0,99.4436,99.6222,0.1786,2.4194,0.4342,0.0,0.0,0.0,16.7832,0.0,18.1818,21.6783,43.3566,1.0014,0.6513,0.4342,0.6022,0.3155,2.6239,3.6152,5.0146,2.1555,1.2933,1.7819,1.1126,449.1552,50.4085,1.452,1.6642,0.7646,0.3173,15.4908,,81.7345,8.0175,1085.9231,185.2338,35.9369,77.5531,10.0,4.898,176.8,213.6,1.05,2287.32,508.2933,13.1003,4226.0,False
3,1125.8,1096.7,2048.2,183.3,2048.2,136.0677,1493.4,34.2,0.6,154.4,,154.4,814.1,816.6,26.7,153.2,284.8,20.5,0.2,,282.6,281.3,102.4,502.7,311.5,534.93,828.8,942.5,944.0,26.7,554.8,476.9,502.7,1096.7,27.9,866.6,97.5,1125.8,1096.7,362.0622,-89.3067,-36.3555,183.3,0.0,282.3,282.3,255.9,209.2,13.6388,229.9644,0.7087,0.5144,-37.7778,153.1566,-12.1414,13.6388,0.2,86.3767,86.6419,0.2653,10.0824,16.2818,0.0,0.0,0.0,8.5714,0.0,0.8026,31.7817,58.8443,27.6692,25.0755,16.2818,18.5823,16.2995,15.6343,15.6173,17.824,23.9669,15.6343,15.6173,11.5511,-426.6507,10.3388,2.278,2.4256,0.0,0.9916,213.7681,,,6.0911,10.5663,3.7328,2.6376,2.9331,5.0,9.8889,1418.4,176.0,1.0759,3400.3740000000007,17.191,2.9425,134091.0,False
4,87.4,86.9,154.0,-5.7,154.0,10.7811,20.4,19.5,0.1,19.6,,19.6,68.8,68.8,26.8,-5.7,-8.2,0.5,,,18.1,-8.2,91.6,253.8,18.6,91.54,95.6,93.1,86.9,26.8,133.6,46.3,253.8,86.9,0.5,-15.5,,87.4,86.9,-8.1316,-60.9009,3.2325,-5.7,0.0,-8.2,-8.2,-8.7,18.5,,187.68900000000002,0.5599,7.52,92.5546,12.3581,-4.8723,,,73.899,73.899,0.0,-16.4,-6.5217,0.0,0.0,0.0,144.086,0.0,0.0,-13.4409,-30.6452,21.2815,-9.3822,-6.5217,21.166999999999998,-6.5217,-4.7049,-4.7049,15.2703,-6.7685,-4.7049,-4.7049,-3.6515,-376.8116,96.0784,0.5658,0.5658,0.0,0.0084,1.1454,,,8.8673,3.5266,54.625,0.3425,1.4568,10.0,-0.6113,134.6,2.45,1.05,21.9862,,0.1774,82985.0,False
5,146.4,140.4,265.9,2.1,265.9,48.0659,221.6,102.4,0.1,96.9,,96.9,139.0,139.3,,2.1,3.1,6.0,,37.6,-2.9,2.8,110.5,0.2,3.1,136.8,139.0,140.0,140.2,,44.3,0.2,0.2,136.0,6.0,116.4,,146.4,136.1,3.1351,102.3833,30.2815,2.1,0.0,2.8,2.8,-2.9,2.8,0.0,70200.0,0.6737,2.7379,75.3927,2.3086,23.4094,0.0,,99.2857,99.5,0.2143,0.4667,1.4344,0.0,0.0,0.0,0.0,0.0,9.6774,22.5806,67.7419,2.1175,1.9126,1.4344,1.9126,1.4344,1.2923,1.2923,1.7231,1.7231,1.2923,1.2923,0.9664,2.6025,43.7274,0.96,2.1367,0.0,0.0078,2.1007,,,2.8919,2.7959,58.56,702.0,702.0,1.0,0.0217,164.8,12.2,1.0956,1304.8975,7789.6084,7.947,2704922.0,False
6,1615.7,1605.2,1941.9,107.2,1941.9,2164.6327,1641.7,1187.2,0.3,788.0,205.1,788.0,1112.7,1263.3,35.7,93.5,332.4,8.5,128.1,475.6,357.6,179.8,91.4,443.8,368.1,872.87,1280.0,1373.6,1605.0,35.7,300.2,286.6,443.8,1577.0,8.5,109.4,141.7,1615.7,1470.3,314.3433,34.2121,8.5447,107.2,0.0,181.8,159.1,321.9,168.3,10.6343,560.0837,0.8691,0.9612,9.5805,88.0267,2.8964,10.6343,128.1,81.0061,91.97,10.9639,21.1529,6.6349,0.0,0.0,6.1668,9.6985,0.0,40.9128,14.0994,29.1225,22.7827,9.8471,6.6349,10.4165,6.6349,22.174,22.174,34.8123,12.175,7.2589,7.2589,5.7667,26.4186,47.998999999999995,0.7007,1.0862,1.9358,0.0267,9.6668,,7.8109,2.3447,2.2887,5.2732,3.7952,5.6651,10.0,11.7309,695.5,206.0,1.1429,2133.0447,44.6244,3.5579,295500.0,False
7,1724.2,1665.8,2424.3,123.7,2424.3,581.9771,905.7,173.5,5.6,314.2,1.1,314.2,1457.9,1467.3,71.2,123.7,204.2,2.6,3.6,265.0,217.4,182.9,215.8,1327.0,275.4,1107.02,1514.5,1610.0,1652.7,71.2,1518.6,668.7,1327.0,137.2,46.1,673.8,291.4,1718.3,1675.3,60.3884,13.2275,0.4841,123.7,0.0,194.8,190.0,146.2,196.4,0.0,249.1102,0.7099,0.8641,17.8509,81.4958,2.6535,0.0,3.6,90.5528,91.1366,0.5839,3.9675,7.1743,0.0,0.0,1.7429,25.8533,0.0,3.4132,24.0741,44.9165,15.9726,11.0196,7.1743,11.3908,6.8789,6.1385,6.4241,10.1997,9.1933,5.9412,6.2176,4.8665,117.8332,34.6914,3.0543,4.8481,0.0282,0.8909,22.7748,20.5036,41.1532,5.3212,10.8544,12.4695,1.2729,2.4309,10.0,7.1127,2054.7,347.5,1.1589,7071.7473,55.192,3.4417,5348640.0,False
8,61.2,55.2,84.8,-5.2,84.8,84.1312,54.9,53.1,0.2,19.6,5.1,19.6,44.3,49.8,1.6,-5.2,-0.6,1.0,4.4,21.3,-4.6,-10.5,22.4,23.1,1.0,43.83,61.4,50.9,55.0,1.6,29.9,13.8,23.1,39.9,1.2,-3.2,12.4,61.1,39.7,8.2914,-61.6895,-4.3019,-5.2,0.0,-6.1,-6.3,-6.2,-4.6,,400.0,0.5428,-7.8503,106.9143,-14.3699,7.2018,,4.4,87.0334,97.8389,10.8055,-8.75,-8.4967,0.0,0.0,20.0,160.0,0.0,550.0,-110.0,-520.0,1.6340000000000001,-10.2941,-8.4967,-7.5163,-8.0196,-22.3744,-23.7443,-21.0046,-16.1043,-7.5153,-7.9755,-4.3459,139.9599,35.7013,0.4275,0.9397,2.1813,0.0452,79.658,,1.5088,1.4136,0.4841,3.0099,2.3691,2.8716,,,,,,,,,,False
9,18.4,0.2,108.6,12.3,108.6,732.875,106.5,66.3,0.9,44.1,4.6,44.1,5.0,5.5,0.5,12.3,12.9,0.3,0.1,36.9,-4.8,12.4,40.0,2.7,13.4,2.14,5.5,6.1,0.2,0.5,2.1,2.1,2.7,0.2,18.2,40.2,1.1,18.4,0.2,106.4068,-170.8769,-99.6299,12.3,0.0,12.4,12.4,-5.3,12.8,0.0,9.5238,0.2627,-6.3605,104.1297,-64.8426,60.0734,0.0,0.1,81.9672,90.1639,8.1967,0.6813,66.8478,0.0,0.0,0.0,3.7313,0.0,3.7313,0.7463,91.791,72.8261,67.3913,66.8478,69.5652,66.8478,35.0927,35.0927,36.5193,31.5924,31.3376,31.3376,17.5589,1014.1439999999999,41.4085,0.6848,1.6063,0.1699,0.0151,66.3636,,,0.0075,0.0133,12.2667,0.1429,0.1818,10.0,3.075,41.2,8.0,1.0606,31.2,138.6,1.2376,150417.0,False
