,co_code,company_name,listed,delisted,delist_date
0,11,20 MICRONS LTD.,1,0,
1,14,20TH CENTURY FINANCE CORPN. LTD. [MERGED],1,1,1999-05-28
2,289,A B C INDIA LTD.,1,0,
3,301,A B C O PLASTICS LTD.,1,1,2004-07-02
4,363,STARLOG ENTERPRISES LTD.,1,1,2005-07-21
5,365,A B G SHIPYARD LTD.,1,0,
6,400,A B L BIOTECHNOLOGIES LTD.,1,1,2018-07-04
7,414,A B M INTERNATIONAL LTD.,1,0,
8,415,A B M KNOWLEDGEWARE LTD.,1,0,
9,443,A B N GRANITES LTD.,1,1,1997-02-17
10,612,A C E EDUTREND LTD.,1,0,
11,621,A C E LABORATORIES LTD.,1,1,1999-02-24
12,641,A C E STONECRAFT LTD.,1,1,1997-02-17
13,666,A C I INFOCOM LTD.,1,0,
14,771,CEINSYS TECH LTD.,1,0,
15,783,A D F FOODS LTD.,1,0,
16,830,A D S DIAGNOSTIC LTD.,1,0,
17,867,A E C (INDIA) LTD.,1,1,1999-03-17
18,871,A E C ENTERPRISES LTD.,1,1,2016-12-13
19,912,A F ENTERPRISES LTD.,1,0,
20,934,APEEJAY TEA LTD. [MERGED],1,1,2002-10-01
21,1034,A G S INFOTECH LTD.,1,1,2017-12-01
22,1120,A I A ENGINEERING LTD.,1,0,
23,1144,A INFRASTRUCTURE LTD.,1,0,
24,1159,A J BROTHERS LTD.,1,1,2018-05-11
25,1315,A K C SYNTHETICS LTD.,1,1,2004-04-20
26,1317,A K CAPITAL SERVICES LTD.,1,0,
27,1372,A K G ACOUSTICS (INDIA) LTD.,1,1,1998-12-16
28,1464,S M S TECHSOFT (INDIA) LTD.,1,0,
29,1570,A K S CREDITS LTD.,1,1,2004-01-14
30,1621,A K SPINTEX LTD.,1,0,
31,1624,A K STRUCTURAL FOAM LTD. [MERGED],1,1,1995-07-20
32,1792,A M E I POWER LTD.,1,1,1997-08-04
33,1827,A M I COMPUTERS (I) LTD.,1,1,2017-08-23
34,2015,A N G INDUSTRIES LTD.,1,0,
35,2021,A N GLOBAL LTD.,1,1,2004-01-14
36,2080,A N S INDS. LTD.,1,0,
37,2248,A P M INDUSTRIES LTD.,1,0,
38,2369,A P T YARNS LTD.,1,1,2004-07-02
39,2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,1,1,2015-10-26
40,2448,A R C FINANCE LTD.,1,0,
41,2513,A R I CONSOLIDATED INVSTS. PVT. LTD.,1,1,2014-03-13
42,2566,A R M POLYMERS LTD.,1,1,2004-04-20
43,2717,DISH T V INDIA LTD.,1,0,
44,2773,ANIL SPECIAL STEEL INDS. LTD.,1,1,1998-12-16
45,2842,A S M TECHNOLOGIES LTD.,1,0,
46,2885,A S R AGRO LTD.,1,1,2004-04-20
47,2898,A S ROTOTECH LTD.,1,1,2002-07-03
48,3005,A T E TRADING & MFG. CO. LTD. [MERGED],1,1,2003-07-04
49,3052,A T N INTERNATIONAL LTD.,1,0,
50,3083,A T V PROJECTS INDIA LTD.,1,1,1997-10-15
51,3149,TAVERNIER RESOURCES LTD.,1,0,
52,3184,A V I EXPORT (INDIA) LTD.,1,1,2002-07-03
53,3189,A V I INDUSTRIES LTD.,1,1,2002-10-21
54,3194,A V I PRODUCTS INDIA LTD.,1,0,
55,3196,A V I POLYMERS LTD.,1,0,
56,3303,ZENITH STEEL TUBES & INDS. LTD.,1,1,2016-12-13
57,3335,A V T NATURAL PRODUCTS LTD.,1,0,
58,3458,AACHAL ALLOYS LTD.,1,1,2004-07-02
59,3624,AAKAR ENGINEERING & MFG. CO. LTD.,1,1,2016-08-17
60,3704,PRISM INFORMATICS LTD.,1,1,2018-07-04
61,3737,JAINEX AAMCOL LTD.,1,0,
62,3768,AANKIT GRANITES LTD.,1,1,2016-12-13
63,3889,AAREY DRUGS & PHARMACEUTICALS LTD.,1,0,
64,3990,AARTI DRUGS LTD.,1,0,
65,3998,AARTI INDUSTRIES LTD.,1,0,
66,4024,AARVEE DENIMS & EXPORTS LTD.,1,0,
67,4030,AARVI ENCON LTD.,1,0,
68,4053,AASHEESH SECURITIES LTD.,1,1,2018-05-11
69,4056,AASHI INDUSTRIES LTD.,1,1,1997-04-07
70,4132,AASWA TRADING & EXPORTS LTD.,1,0,
71,4210,ABACUS COMPUTERS LTD.,1,1,2018-05-11
72,4253,ABAN OFFSHORE LTD.,1,0,
73,4286,PHARMACIA HEALTHCARE LTD. [MERGED],1,1,2005-03-04
74,4320,ABEE INFO-CONSUMABLES LTD.,1,1,2018-05-11
75,4483,ABHIJIT TRADING CO. LTD.,1,0,
76,4581,ABHINAV CAPITAL SERVICES LTD.,1,0,
77,4589,ABHINAV LEASING & FINANCE LTD.,1,0,
78,4671,RADICO KHAITAN LTD.,1,0,
79,4680,ABHISHEK CORPORATION LTD.,1,0,
80,4709,TRIDENT LTD.,1,0,
81,4730,ABHISHEK SPINFAB CORPN. LTD. [MERGED],1,1,1999-06-15
82,4831,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,1,0,
83,5003,ACCEL FRONTLINE LTD.,1,0,
84,5173,ACCURATE EXPORTS LTD.,1,1,2016-08-17
85,5206,ACCURATE TRANSFORMERS LTD.,1,1,2018-07-04
86,5284,ACE SOFTWARE EXPORTS LTD.,1,0,
87,5396,ACKNIT INDUSTRIES LTD.,1,0,
88,5417,PROVOGUE (INDIA) LTD.,1,0,
89,5435,ACME FLUORO POLYMERS LTD.,1,1,1997-02-17
90,5445,ACME INDUSTRIES LTD.,1,1,2004-07-02
91,5478,ACME SPINNERS LTD.,1,1,1997-02-17
92,5531,ACQUAINT EXPORTS LTD.,1,1,2004-07-02
93,5568,ACROW INDIA LTD.,1,0,
94,5574,ACRYSIL LTD.,1,0,
95,5596,ACTION FINANCIAL SERVICES (INDIA) LTD.,1,0,
96,5674,ACUMEN TRADING & INVSTS. LTD.,1,1,2004-04-20
97,5695,AD-MANUM FINANCE LTD.,1,0,
98,5715,ADAM COMSOF LTD.,1,1,2017-08-23
99,5747,ADANI ENTERPRISES LTD.,1,0,
100,5757,ADANI POWER LTD.,1,0,
101,5791,ADARSH CHEMICALS & FERTILISERS LTD.,1,1,1997-08-06
102,5802,VIKAS PROPPANT & GRANITE LTD.,1,0,
103,5838,ADARSH MERCANTILE LTD.,1,0,
104,5843,ADARSH PLANT PROTECT LTD.,1,0,
105,5888,ADCON CAPITAL SERVICES LTD.,1,0,
106,5907,ADD-LIFE PHARMA LTD.,1,1,2017-12-01
107,5921,ADDI INDUSTRIES LTD.,1,0,
108,5994,ACIL COTTON INDS. LTD.,1,0,
109,6011,ADHARSHILA CAPITAL SERVICES LTD.,1,0,
110,6016,ADHBHUT INFRASTRUCTURE LTD.,1,0,
111,6076,ADHUNIK SYNTHETICS LTD.,1,1,2016-08-17
112,6082,ADHUNIK YARNS LTD.,1,1,2016-08-17
113,6097,ADI RASAYAN LTD.,1,0,
114,6136,ADINATH EXIM RESOURCES LTD.,1,0,
115,6166,ADINATH TEXTILES LTD.,1,0,
116,6225,ADITHYA ALKALOIDS LTD.,1,1,1997-02-17
117,6226,BLUE CLOUD SOFTECH SOLUTIONS LTD.,1,0,
118,6228,ADITYA EXPORTS PVT. LTD.,1,1,1997-02-17
119,6318,ADITYA ELECTRO COMMUNICATIONS LTD.,1,1,2004-07-02
120,6342,ADITYA FORGE LTD.,1,0,
121,6347,ARIS INTERNATIONAL LTD.,1,0,
122,6348,ADITYA ISPAT LTD.,1,0,
123,6364,ADITYA INTERNATIONAL LTD.,1,1,2007-02-12
124,6374,NITIN CASTINGS LTD.,1,0,
125,6376,ADITYA LIME INDS. LTD.,1,1,2004-07-02
126,6385,ADITYA MILLS LTD.,1,1,1997-02-17
127,6400,ADITYA POLYMERS LTD.,1,1,2016-08-17
128,6431,ADITYA SPINNERS LTD.,1,1,1997-09-17
129,6456,ADITYA VISION LTD.,1,0,
130,6484,RELIANCE MEDIAWORKS LTD.,1,1,2014-05-06
131,6584,ADOR FONTECH LTD.,1,0,
132,6585,ADOR MULTIPRODUCTS LTD.,1,0,
133,6589,ADOR TECHNOPAK LTD. [MERGED],1,1,2006-03-01
134,6681,ADVAIT COMMERCIAL ENTERPRISES LTD.,1,1,1997-02-17
135,6697,ADVANCE BIO-COAL (INDIA) LTD.,1,1,1999-04-07
136,6767,ADVANCE MULTITECH LTD.,1,0,
137,6773,ADVANCE PETROCHEMICALS LTD.,1,0,
138,6793,ADVANCE SYNTEX LTD.,1,0,
139,6819,ADVANCED ENZYME TECHNOLOGIES LTD.,1,0,
140,6871,ADVANCED MICRONIC DEVICES LTD.,1,0,
141,6916,ADVANI HOTELS & RESORTS (INDIA) LTD.,1,0,
142,6923,ADOR WELDING LTD.,1,0,
143,6926,ADVANTA LTD. [MERGED],1,1,2016-08-02
144,6953,ADVENT COMPUTER SERVICES LTD.,1,0,
145,7002,ADVIK LABORATORIES LTD.,1,0,
146,7068,AEGIS LOGISTICS LTD.,1,0,
147,7077,LUDLOW JUTE & SPECIALITIES LTD.,1,0,
148,7091,AEONIAN INVESTMENTS CO. LTD.,1,0,
149,7203,AESCULAPIUS REMEDIES LTD.,1,1,2004-02-26
150,7294,AFTEK LTD.,1,1,2018-08-08
151,7447,WAGEND INFRA VENTURE LTD.,1,0,
152,7633,SHIRPUR GOLD REFINERY LTD.,1,0,
153,8081,AGRI-MARINE EXPORTS LTD.,1,1,2018-05-11
154,8083,AGRI-TECH (INDIA) LTD.,1,0,
155,8122,AGRIMAS CHEMICALS LTD.,1,1,2004-07-02
156,8137,AGRITECH HATCHERIES & FOODS LTD.,1,1,1997-08-15
157,8150,AGRO CHEM PUNJAB LTD.,1,1,2004-04-20
158,8153,AGRO DUTCH INDS. LTD.,1,1,2018-05-30
159,8183,AGRO TECH FOODS LTD.,1,0,
160,8184,AGRO TECH INDIA LTD.,1,1,1996-04-02
161,8280,AHIMSA INDUSTRIES LTD.,1,0,
162,8306,AHLCON PARENTERALS (INDIA) LTD.,1,1,2015-01-30
163,8312,AHLUWALIA CONTRACTS (INDIA) LTD.,1,0,
164,8336,ADVANCE LIFESTYLES LTD.,1,0,
165,8354,TORRENT POWER A E C LTD. [MERGED],1,1,2006-09-21
166,8360,EXCEL CASTRONICS LTD.,1,0,
167,8378,AHMEDABAD STEELCRAFT LTD.,1,0,
168,8392,METALYST FORGINGS LTD.,1,0,
169,8468,AHURA WELDING ELECTRODE MFRS. LTD.,1,1,2017-08-23
170,8523,AIMCO PESTICIDES LTD.,1,1,2000-05-31
171,8628,AIRAN LTD.,1,0,
172,8645,AIRCOMMAND AIRTECHNICS LTD.,1,1,2004-07-02
173,8646,AIRCOMMAND INDIA LTD.,1,1,2004-07-02
174,8893,AJANTA PHARMA LTD.,1,0,
175,8909,AJANTA SOYA LTD.,1,0,
176,8923,AJANTA TUBES LTD.,1,1,2004-07-02
177,9001,AJAY ELECTRICAL INDS. LTD.,1,1,1996-04-02
178,9167,AJCON GLOBAL SERVICES LTD.,1,0,
179,9335,AJWA FUN WORLD & RESORT LTD.,1,0,
180,9356,AFLOAT TEXTILE (INDIA) LTD.,1,1,2000-09-20
181,9395,OPTIEMUS INFRACOM LTD.,1,0,
182,9424,AKAR LAMINATORS LTD.,1,1,2001-03-28
183,9427,AKAR POLYMATIK LTD. [MERGED],1,1,1997-05-14
184,9431,AKAR AUTO INDS. LTD.,1,0,
185,9455,AKASH AGENCIES LTD.,1,1,2018-01-31
186,9457,AKASH AGRO INDS. LTD.,1,1,2004-04-20
187,9503,AKASH HOUSING LTD. [MERGED],1,1,2004-06-18
188,9505,AKASH INFRA-PROJECTS LTD.,1,0,
189,9553,AKASHDEEP METAL INDS. LTD.,1,0,
190,9632,AKHIL CERAMICS LTD.,1,1,1997-02-17
191,9681,CORE EDUCATION & TECHNOLOGIES LTD.,1,1,2018-07-02
192,9780,HUBTOWN LTD.,1,0,
193,9793,AKSH OPTIFIBRE LTD.,1,0,
194,10055,AL-AMANAT FINANCE & CAPITAL SERVICES LTD.,1,1,2004-04-20
195,10131,ALACRITY ELECTRONICS LTD.,1,1,2017-08-23
196,10133,ALACRITY HOUSING LTD.,1,1,2017-08-23
197,10135,ALACRITY SECURITIES LTD.,1,0,
198,10158,SAI JEEVADHARA FINANCE LTD.,1,0,
199,10220,ALAN SCOTT INDS. LTD.,1,0,
200,10229,ALANG INDUSTRIAL GASES LTD.,1,0,
201,10231,ALANG MARINE LTD.,1,0,
202,10376,ALBERT DAVID LTD.,1,0,
203,10397,RHODIA SPECIALTY CHEMICALS INDIA PVT. LTD.,1,1,2002-01-19
204,10447,ALCHEMIE ORGANICS LTD. [MERGED],1,1,2002-07-03
